# Data to test Polynomial fitting.
# Data is 4th order simple polynomial with
# Coefficients: 1.0  6.0  -3.0  0.5  -0.0255
# Use:  fit polynomial 5 or fit legendre 5
# I    X     Y        SIG
  1  0.10 1.606793 0.032136
  2  0.20 2.083313 0.041666
  3  0.30 2.668247 0.053365
  4  0.40 3.035305 0.060706
  5  0.50 3.311285 0.066226
  6  0.60 3.661846 0.073237
  7  0.70 3.959980 0.079200
  8  0.80 4.147762 0.082955
  9  0.90 4.267237 0.085345
 10  1.00 4.411682 0.088234
 11  1.10 4.572789 0.091456
 12  1.20 4.628009 0.092560
 13  1.30 4.821774 0.096435
 14  1.40 4.887222 0.097744
 15  1.50 4.734012 0.094680
 16  1.60 4.760204 0.095204
 17  1.70 4.955054 0.099101
 18  1.80 4.812973 0.096259
 19  1.90 4.639213 0.092784
 20  2.00 4.460375 0.089208
 21  2.10 4.388823 0.087776
 22  2.20 4.492340 0.089847
 23  2.30 4.168556 0.083371
 24  2.40 4.276353 0.085527
 25  2.50 4.027040 0.080541
 26  2.60 3.912391 0.078248
 27  2.70 3.897222 0.077944
 28  2.80 3.564918 0.071298
 29  2.90 3.492511 0.069850
 30  3.00 3.432452 0.068649
 31  3.10 3.235867 0.064717
 32  3.20 3.254122 0.065082
 33  3.30 3.161575 0.063231
 34  3.40 2.940786 0.058816
 35  3.50 2.748769 0.054975
 36  3.60 2.865666 0.057313
 37  3.70 2.610528 0.052211
 38  3.80 2.581151 0.051623
 39  3.90 2.515362 0.050307
 40  4.00 2.531501 0.050630
 41  4.10 2.404462 0.048089
 42  4.20 2.434089 0.048682
 43  4.30 2.331029 0.046621
 44  4.40 2.457001 0.049140
 45  4.50 2.310315 0.046206
 46  4.60 2.401975 0.048040
 47  4.70 2.361499 0.047230
 48  4.80 2.391791 0.047836
 49  4.90 2.509753 0.050195
 50  5.00 2.404058 0.048081
 51  5.10 2.599660 0.051993
 52  5.20 2.664442 0.053289
 53  5.30 2.970184 0.059404
 54  5.40 2.960461 0.059209
 55  5.50 3.109007 0.062180
 56  5.60 3.287611 0.065752
 57  5.70 3.291516 0.065830
 58  5.80 3.647233 0.072945
 59  5.90 3.741287 0.074826
 60  6.00 3.965747 0.079315
 61  6.10 4.272289 0.085446
 62  6.20 4.424845 0.088497
 63  6.30 4.448742 0.088975
 64  6.40 4.612994 0.092260
 65  6.50 5.010147 0.100203
 66  6.60 5.100254 0.102005
 67  6.70 5.583841 0.111677
 68  6.80 5.809249 0.116185
 69  6.90 6.165275 0.123305
 70  7.00 6.326608 0.126532
 71  7.10 6.528518 0.130570
 72  7.20 6.805364 0.136107
 73  7.30 7.328937 0.146579
 74  7.40 7.295796 0.145916
 75  7.50 7.444018 0.148880
 76  7.60 7.510352 0.150207
 77  7.70 7.890435 0.157809
 78  7.80 8.011921 0.160238
 79  7.90 8.290347 0.165807
 80  8.00 8.553009 0.171060
 81  8.10 8.911439 0.178229
 82  8.20 9.071855 0.181437
 83  8.30 9.265301 0.185306
 84  8.40 8.968014 0.179360
 85  8.50 9.275312 0.185506
 86  8.60 9.284881 0.185698
 87  8.70 9.475739 0.189515
 88  8.80 9.676233 0.193525
 89  8.90 9.239784 0.184796
 90  9.00 9.093288 0.181866
 91  9.10 9.315464 0.186309
 92  9.20 8.876906 0.177538
 93  9.30 8.867155 0.177343
 94  9.40 8.642811 0.172856
 95  9.50 8.194501 0.163890
 96  9.60 8.109133 0.162183
 97  9.70 7.366217 0.147324
 98  9.80 7.063790 0.141276
 99  9.90 6.661320 0.133226
100 10.00 6.041788 0.120836
